id,model,reported_model_label,metric,class_name,condition,value,range_lower,range_upper,reported,precision,unit,evidence,dataset_type,source_pdf,source_pdf_page,source_location,notes
fig7_atelectasis_mae300,MAE-H/300,MAE300,delta_lesion,Atelectasis,classification-aligned lesion occlusion,0.07,,,0.07,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_ild_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,ILD,classification-aligned lesion occlusion,0.64,,,0.64,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_ild_mae300,MAE-H/300,MAE300,delta_lesion,ILD,classification-aligned lesion occlusion,-0.09,,,-0.09,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_pleural_effusion_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,Pleural effusion,classification-aligned lesion occlusion,0.61,,,0.61,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_pleural_effusion_mae300,MAE-H/300,MAE300,delta_lesion,Pleural effusion,classification-aligned lesion occlusion,0.14,,,0.14,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_consolidation_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,Consolidation,classification-aligned lesion occlusion,0.42,,,0.42,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_consolidation_mae300,MAE-H/300,MAE300,delta_lesion,Consolidation,classification-aligned lesion occlusion,0.15,,,0.15,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_cardiomegaly_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,Cardiomegaly,classification-aligned lesion occlusion,0.40,,,0.40,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_cardiomegaly_mae300,MAE-H/300,MAE300,delta_lesion,Cardiomegaly,classification-aligned lesion occlusion,0.01,,,0.01,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_pneumothorax_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,Pneumothorax,classification-aligned lesion occlusion,0.33,,,0.33,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_pneumothorax_mae300,MAE-H/300,MAE300,delta_lesion,Pneumothorax,classification-aligned lesion occlusion,0.04,,,0.04,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_infiltration_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,Infiltration,classification-aligned lesion occlusion,0.32,,,0.32,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_infiltration_mae300,MAE-H/300,MAE300,delta_lesion,Infiltration,classification-aligned lesion occlusion,0.03,,,0.03,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_lung_opacity_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,Lung Opacity,classification-aligned lesion occlusion,0.27,,,0.27,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig7_lung_opacity_mae300,MAE-H/300,MAE300,delta_lesion,Lung Opacity,classification-aligned lesion occlusion,0.10,,,0.10,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
fig8_smoothing_auroc_range,I-JEPA-H/300,,macro_auroc,,Gaussian smoothing and median filtering at Gaussian noise σ=0.05,,0.73,0.75,roughly 0.73–0.75,approximate_range,macro AUROC,paper_reported,aggregate_experimental_results,texjepa-manuscript,12,"Figure 8 caption, left panel",The caption gives an approximate range across the two preprocessing methods. We do not assign either endpoint to a particular method or infer plotted values.
